word,pos,meaning_zh,confidence,source,example_szy,example_zh
'',,,★☆☆,corpus_highfreq,local result = '' ..,
'kek,,[例] 我訝異海的一望無際。,★★★,ilrdf_xml,'kek sa kaku miazih tu nikaahbal nu bayu.,我訝異海的一望無際。
'keng,,[例] 用鋼鐵製作刀。,★★★,ilrdf_xml,u 'keng ku sapisanga' tu bakan.,用鋼鐵製作刀。
'kim,,[例] 女人戴金項鍊。,★★★,ilrdf_xml,siudu' ku tatayna tu 'kim.,女人戴金項鍊。
'king,,[例] Kacaw一開墾發現是石頭地。,★★★,ilrdf_xml,'king sa ci Kacaw sa u baba'tuan.,Kacaw一開墾發現是石頭地。
'nenga,,[例] 老師說坐下！,★★★,ilrdf_xml,'nenga sa ku saydang!,老師說坐下！
1,,cikay / cecay,★★★,vocab_core,"""ci An-na Ka-liey-ni-na"" kahaminan a misulit sa iti 1877 a mihcaan, i 1875 a mihcaan 1 a bulad malingatu lalitilitin sa pacudad i tiya ""E-lo-seay binawlanay a sinbung"". ina nisulitan a kungku mahkatahkal sa idaw tu ku ka aliyaliyacan kalabangbangan mataengil.",
10,,ma'enem / caangahan（待驗證）,★★★,vocab_core,1. panutek tu sikay 11 abulad 10 a bataan kanikalan a tatukian &quot;mahamin tu a masatedep ku kalalais&quot;. (u sulit nu hulam: 確認從11月10日清晨1點起「全面停火」；),
2,,tusa,★★★,vocab_core,""" nu tuse nu aadupan"" iti 2016 a mihcaan 2 a bulad 13 a demiad i Pilise a kanatal ya Pulusay-el i pilisinan tu kacudu a demiad palekal tu nikasayawan a pazizaw, kalecadan nu mihcaan i 3 a bulad 4 a demiadan iti kaamisan nu Amilika a buluku u 2D, 3D, RealD, IMAX 3D a kasaditan papizizaw tu mimelaway. nipazizawan nu kacudu sa, i nu dikudan kapah amin a piliclic nu mikinaulay, katuud ku miliclicay nu mitesekay a tademaw patatudu tu lima sikasenengan ku datuk nu masakaputay, u ulic nu kungku, atu pi",
3,,tulu,★★★,vocab_core,""" nu tuse nu aadupan"" iti 2016 a mihcaan 2 a bulad 13 a demiad i Pilise a kanatal ya Pulusay-el i pilisinan tu kacudu a demiad palekal tu nikasayawan a pazizaw, kalecadan nu mihcaan i 3 a bulad 4 a demiadan iti kaamisan nu Amilika a buluku u 2D, 3D, RealD, IMAX 3D a kasaditan papizizaw tu mimelaway. nipazizawan nu kacudu sa, i nu dikudan kapah amin a piliclic nu mikinaulay, katuud ku miliclicay nu mitesekay a tademaw patatudu tu lima sikasenengan ku datuk nu masakaputay, u ulic nu kungku, atu pi",
4,,sepat,★★★,vocab_core,""" nu tuse nu aadupan"" iti 2016 a mihcaan 2 a bulad 13 a demiad i Pilise a kanatal ya Pulusay-el i pilisinan tu kacudu a demiad palekal tu nikasayawan a pazizaw, kalecadan nu mihcaan i 3 a bulad 4 a demiadan iti kaamisan nu Amilika a buluku u 2D, 3D, RealD, IMAX 3D a kasaditan papizizaw tu mimelaway. nipazizawan nu kacudu sa, i nu dikudan kapah amin a piliclic nu mikinaulay, katuud ku miliclicay nu mitesekay a tademaw patatudu tu lima sikasenengan ku datuk nu masakaputay, u ulic nu kungku, atu pi",
5,,lima,★★★,vocab_core,"""mukilimay tu liyung a padungiay ci Laya"" ya Hwa-te Ti-se-ni pakacuduay ku nipisangaan atu ya Ti-se-niay a patinakay ku patahkalay, iti 2021 a mihcaan 3 a bulad 5 a demiadan, iti Amilika a kanatal mapulung nu paigaay sikalcad nu tatukian a pamelaw, kutusi sa sacumuden i satebul nu Disney+.",
6,,enem,★★★,vocab_core,"""pauzipay tu malabadesay a iyung"" (A-me-lika a kamu: The Rescuers), u cacay nu How-te-ti-s-ni i 1977 a mihcaan nisang'an ni patahkal tu nu manga a igaan. nisumadan tu makay Ma-cye-li sya-pu a ""pauzipay tu malabadesay a iyung"" atu ""Pi-an-ka a limecedan"". u patahkalan cinizaan a demiad a iga i 1977 a mihcaan 6 a bulad 22 a demiad (u Sya-kang malecad tu a mihcaan tu 12 a bulad 22 a demiad a paiga). u saka 23 a igaan u micidekay ku kapah tanayu'ay a manga nu How-te-ti-s-ni.",
7,,pitu,★★★,vocab_core,"""Ay-li-se tasepian tacuwacuwa misatiwatiway i kakalayan"" iti 1865 a mihcaan mapatahkal padih tu binawlan. ina kungku sa sipakay i 1862 a mihcaan 7 a bulad 4 a demiadan, miulicay atu ci Lu-pin-sun Ta-ke-hwa-se (Reverend Robinson Duckworth) atu tatuluay a tatayna iti Tay-u-se a sauwac maladay miidang. tuluway a tatayna sa idaw kya ci Ay-li-se.lite-el hananay: u wama nida sa tulcek sa u sasaydan nu ya Niw-cin tabakiay a cacudadanay atu ya nu Uy-se-mi-se-te a cacudadan (Westminster School), ci Hen-l",
