word,pos,confidence,source,example_szy,example_zh
'',,★☆☆,corpus_highfreq,local result = '' ..,
aadihan,,★☆☆,corpus_highfreq,"""nidimutan a budawa ni So-lo-menay a hung-ti"" (King Solomon's Mines) u nu Ingguay a misulitay tu kungku nu aadihan a cudad, ci Heng-li Lay-te Ha-ke-te (Hennry Rider Haggard) a kasingangan nu nikalekuan a pisulitan, iti 1885 a mihcaan patahkal tu sapaadihan. nidatengan sa namakay i Lo-po Lu-i-se Se-ti-wen-senay a ""nukingmay nu gingnay a subal"". i Taywan sa iti 1970 a mihcaan ya nu walianay nu masakapahay sakay nu sulu nu ulic a nipatahkalan, tina nisulitan a kungku kaidawan tu nu hulamay a saedap",
aadupan,,★☆☆,corpus_highfreq,* kasasumay (界)：kasazumaay aadupan (動物界) Animalia * sacumud (門)：sacumud dami’ay aadupan (軟體動物門) Mollusca * uzip (綱)：uzip bili ku sapiculil (腹足綱) Gastropoda * mata (目)：mata dawmiay uzip (主扭舌目) Architaenioglossa * pulung (總科)：pulung samataan kuhkuh (田螺總科) Viviparoidea * samataan (科)：samataan kuhkuh (田螺科) Viviparidae,
aaidangan,,★☆☆,corpus_highfreq,"1978 amihcaan 9abulad , tini i huwa-sen-tun-ke-lun-pi-ya sapasubana’ acuda nu masakaputay nu kitakit nisubelidan tu zaysang a wiy-yun- huy sakinatusa milubang , u amilika sayaway misulul tu tusaay a zaysang nu nisubelitan amaala “kitakitzaysang nu singanganay” malacal tu hu-te-tay-ti- nu kanatal aaidangan atu takuliyaway aaidangan .",
abulad,,★☆☆,corpus_highfreq,1. panutek tu sikay 11 abulad 10 a bataan kanikalan a tatukian &quot;mahamin tu a masatedep ku kalalais&quot;. (u sulit nu hulam: 確認從11月10日清晨1點起「全面停火」；),
aca,,★☆☆,corpus_highfreq,"""Luye hananay i satalakaway a picekulan"" u kitidaan sa i Pusung ya Luye a kenis Yung-an a niyadu’, i kasaamisan niya talakaway a masaniyadu’ ya Lung-tin han, nipicidekan ku nikasaan kiyu i limaay a bataan nu mihcaan sa, u papalumaan aca tu ya uciya a caciwmungan a kitidaan, sakay nu Taywanay pikingkiwan tu sasakapah tu sikacakat nu uciya, katinengan ku nika sakahenulan nu sakaidaw.",
acacay,,★☆☆,corpus_highfreq,"Butud u silamalay nu buyu a subalan nu kitidaan, satalakaway u Hung-tuo buyu talakaw lima a lasubu sepat a bataan idaw ku walu (548) a kun-ce, u enal namin, subal u adidiay a buyuan, sauwac masakenis, u dadisapan acacay ku enel, masangangiw ku dadisapan, kilakilangan namin. Butud a lala’ u ciaw-san-se a an-san-se a ba’tuan atu sin-u-yen a ba’tuan.",
aci,,★☆☆,corpus_highfreq,* nisulitan ni Mahi Takas aci Uwi Habay.,
ademiad,,★☆☆,corpus_highfreq,1538 a mihcaan 8ay a bulad 6 ademiad kung-ca-lu. Si-may-nay-ce.te.kuy-sa-ta naw u ci-pu-ca a tademaw nu adidiay a sayku u pa-ta-ka u imisa “talakaway a umaumahan sa” mihapiy a patideng tu Puketa.,
adidi,,★☆☆,corpus_highfreq,1867 a mihcaan 6 a bulad 11 a demiad  “ in-cin-3 a mihcaan 5 ay abulad 9 a demiad” Yi-nen-ka-ci lecuhan i dipun yi-yi-heng-tin a niyadu’ baluhay a luma’ “ aydaay nu yin-se-king yin-yi-si timulay a maci” nanu adidi i baku anikuwanan muculcul minanam tu cuda.,
adidiay,,★☆☆,corpus_highfreq,* Hulam talakaway a nipaluma nalunasulitan a sulu pulungamin a sulu《中國高等植物資料庫全庫》. Hulam kagak a yuan adidiay a mauzipay migankiway a suo中國科學院微生物研究所. [2009-02-24]. * Yuan-cu-min-cu wei-yuan-huy sapayu' a nipaluma nu Yuan-cu-min 行政院原住民族委員會-原住民族藥用植物2009-p28 * 花序數位典藏國家型科技計畫/應用服務分項計畫 * 中文維基-大薊: https://zh.wikipedia.org/wiki/%E5%A4%A7%E8%96%8A,
adih,,★☆☆,corpus_highfreq,"Asperillus fumigatus u masatawasiay a lebawaan nu tademaw a balaan hina adih tu mei-cun, hini satu a la’cus ku tademaw. masatawasiay a lebawa mahida u luni ku lungida mi’su tu takulaw, mahiniay u masaluniay itida i bala’ u lalangawan nu hini a kitidaan, sisa hinalalid kina bala’ sumad satu ku bala’ ita. yu sumamad caay pisengal a miu’hu’h, yadah ku teluhu’, anu caay kapiyundu hina adih kita tu mahiniay a imelangan. nikudan satu, nikasumadan tu nu bala hida satu a utiih ku hahanhanan.",
adihan,,★☆☆,corpus_highfreq,"Babalaki sa u kabung, mahicaykiya a adihan nika u sadihekuay.",
adihen,,★☆☆,corpus_highfreq,"Moors (Muo-Ele a tademaw 摩爾人) a tatayna tatelecan ku adihen nuheni, lalielan apuyu’, tabaki ku menah, madicem ku cucu. kidemuay nu tatayna han usilaculay sa. siacawaw ku tatama tu kidemuay a tatayna, nipikikunga sa micide kuni ka kapah nunikasi kawawan, lalumaan namaka batad tayni namin miadih tu tatayna.",
adingu,,★☆☆,corpus_highfreq,"1925 a mihcaan ,ci Cucecin mala paycin tabakiay a cacudadan nu malasaydanka tu , tucacay ademiad makaala cinida tu tigami nu wamanida Cuhungcin, sakamu sa utiih tu kuudip laecus tu, akay hatida tu sa, mabulah tu ci Cucecinan atu baki ; makaadih tinakamu, mulihaw ci Cucecinan, balakien tu udip hini sananay tu kupiayamali tu wawa, dateng sa cinida tina pina amihcaan caay kasasulul malwama, nabaw sa tahekal imata ku nipadungus niyama nida i pangiduan ya adingu nu kulul, namahida sa sulit satu cinid",
aenengan,,★☆☆,corpus_highfreq,"1240 a mihca 12 a bulad a Pa-tu midebung mahamin tu mapeci’ kuyni a tukay, Ci-pu malawpes t uku naayaway tu pinaay a seci nu nikaala malilid ku cen-ce, Sa-hwang a aenengan zikuz namalimad tayza i Mu-si-ke makutay Low-s a tademaw. cunus zikuz icelangay a kanatal a mulekal, miliyaw ku itiniay mala kuyni tabakiay a kanatal nu lilisay a muliyaw tu kitizaan “Li-taw-wan a tabakiay a kanatal, Pow-lan Li-taw-wan malacabay, E-low-s hungti a Kanata”",
africa,,★☆☆,corpus_highfreq,"&quot;nina kakitidaan ini’ ku &quot;kapahay a tademaw&quot; nu Cence nikasasupatay&quot; numa anupay atu sakatalawan numicepcepay a Africa (西非) a kanatal Mali, nu cacayay masakaputay paciciyan i sudu midebung a haitay &quot;patideng tu tademaw palekal tu kawaw&quot; sa, debungan nuheni ku Cuntun a luma’, paciciyan nuheni kuni singkiwan inaiay ku laheciay caay palutadenga tu binawlan a cungtun ci Kayta (凱塔) &quot; Ibrahim Boubacar Keita), dakepen cinida pataydan i hitayhitayan.",
ahican,,★☆☆,corpus_highfreq,"""hang, hina palita kaku tu pasapaiyuay ahican mukan ku sapaiyu, wida sa u mikuliay tu pasapaiyuay mikuliay kuheni ahican caypikuli mietan sakaudip.",
aidangan,,★☆☆,corpus_highfreq,* 中文維基百科 : 太魯閣國家公園 *https://zh.wikipedia.org/zh-tw/%E5%A4%AA%E9%AD%AF%E9%96%A3%E5%9C%8B%E5%AE%B6%E5%85%AC%E5%9C%92縮圖|Taluku kanatal aidangan 太魯閣國家公園 kakuniza:Sabak Tutuy,
ak'ak,,★☆☆,corpus_highfreq,"China kasumamadan izaw ku ak'ak patineng tu kakadihan sa, pakatukuh sa miazih tu tuki. Sey-ci-suan ""lang-yu-ci"" sakacacay a cuang, pakatukuhay tu kapahay a kawawana ak'ak ""u itimulanay a kamu sa kanamuhan kya Si-cuy kabidangan kya ak'ak sa, uiamisay a kamu sa caay kalecad kapahay ku ak'ak sa makatalay kya Si-cuy sa.",
akamu,,★☆☆,corpus_highfreq,"1991 “akute” nuayawan a mihcaan, akamu u sakaedengan nu tualci, kute hida hantu “buyu’ay atademaw kani pangangan.",
